distance_ticks,count,probability,cumulative_probability
0,591201,0.5792550236473213,0.5792550236473213
1,183687,0.17997536798602423,0.7592303916333455
2,46050,0.04511950054035623,0.8043498921737017
3,49377,0.04837927422760412,0.8527291664013058
4,18656,0.018279031532701107,0.871008197934007
5,28258,0.027687010776751064,0.898695208710758
6,25196,0.0246868824237745,0.9233820911345325
7,15494,0.0151809238083014,0.9385630149428339
8,12448,0.012196472154752539,0.9507594870975864
9,12409,0.012158260199897514,0.9629177472974839
10,9710,0.00951379696518695,0.9724315442626709
11,9581,0.009387403576051098,0.9818189478387219
12,5400,0.005290886056849591,0.9871098338955715
13,3486,0.0034155608878106802,0.9905253947833822
14,1996,0.0019556682536058857,0.9924810630369881
15,1286,0.0012600147165015877,0.9937410777534897
16,721,0.0007064312679608435,0.9944475090214506
17,506,0.0004957756194010913,0.9949432846408517
18,362,0.00035468532455176885,0.9952979699654034
19,299,0.0002929583205551903,0.9955909282859586
20,200,0.00019595874284628113,0.9957868870288049
21,156,0.0001528478194200993,0.9959397348482251
22,101,9.895916513737198e-05,0.9960386940133624
23,103,0.00010091875256583479,0.9961396127659282
24,112,0.00010973689599391744,0.9962493496619221
25,87,8.52420531381323e-05,0.9963345917150602
26,75,7.348452856735543e-05,0.9964080762436276
27,54,5.290886056849591e-05,0.9964609851041961
28,72,7.05451474246612e-05,0.9965315302516208
29,430,0.00042131129711950446,0.9969528415487403
30,645,0.0006319669456792567,0.9975848084944196
31,142,0.0001391307074208596,0.9977239392018404
32,61,5.976741656811575e-05,0.9977837066184085
33,56,5.486844799695872e-05,0.9978385750664055
34,160,0.0001567669942770249,0.9979953420606825
35,420,0.0004115133599771904,0.9984068554206598
36,145,0.00014207008856355382,0.9985489255092234
37,671,0.0006574415822492732,0.9992063670914726
38,501,0.0004908766508299342,0.9996972437423025
39,89,8.720164056659511e-05,0.9997844453828691
40,49,4.800989199733888e-05,0.9998324552748665
41,34,3.33129862838678e-05,0.9998657682611504
42,20,1.9595874284628114e-05,0.999885364135435
43,27,2.6454430284247954e-05,0.9999118185657193
44,13,1.2737318285008274e-05,0.9999245558840043
45,13,1.2737318285008274e-05,0.9999372932022893
46,16,1.5676699427702493e-05,0.999952969901717
47,7,6.85855599961984e-06,0.9999598284577166
48,12,1.175752457077687e-05,0.9999715859822874
49,18,1.76362868561653e-05,0.9999892222691436
50,11,1.0777730856545463e-05,1.0
