distance_ticks,count,probability,cumulative_probability
0,582710,0.5774471467049312,0.5774471467049312
1,185653,0.18397624054368486,0.7614233872486161
2,49308,0.04886266566512802,0.8102860529137441
3,47987,0.04755359652130483,0.857839649435049
4,17940,0.01777797156713711,0.8756176210021861
5,26054,0.025818688473254758,0.9014363094754408
6,20857,0.020668626141347755,0.9221049356167886
7,15412,0.01527280366737554,0.9373777392841641
8,14772,0.014638583945916913,0.952016323230081
9,11973,0.011864863632850203,0.9638811868629312
10,9965,0.009874999256773764,0.973756186119705
11,9418,0.009332939588589594,0.9830891257082947
12,4573,0.004531698103484839,0.9876208238117795
13,2600,0.0025765176184256683,0.9901973414302052
14,1514,0.0015003260285755622,0.9916976674587807
15,1029,0.0010197063959076972,0.9927173738546884
16,825,0.0008175488596927602,0.9935349227143812
17,553,0.0005480054780728441,0.994082928192454
18,791,0.0007838559369902707,0.9948667841294443
19,301,0.0002982814627485101,0.9951650655921928
20,258,0.00025566982521300864,0.9954207354174057
21,174,0.00017242848677156397,0.9955931639041773
22,174,0.00017242848677156397,0.9957655923909489
23,162,0.00016053686699421473,0.9959261292579431
24,204,0.00020215753621493707,0.996128286794158
25,114,0.00011297038788481777,0.9962412571820428
26,89,8.819618001534019e-05,0.9963294533620581
27,71,7.035875034931632e-05,0.9963998121124075
28,63,6.243100383108351e-05,0.9964622431162385
29,419,0.0004152157238924443,0.996877458840131
30,604,0.0005985448621265784,0.9974760037022576
31,93,9.216005327445661e-05,0.9975681637555321
32,44,4.360260585028054e-05,0.9976117663613824
33,46,4.558454247983875e-05,0.9976573509038622
34,149,0.0001476542789020864,0.9978050051827643
35,459,0.0004548544564836084,0.9982598596392479
36,124,0.0001228800710326088,0.9983827397102805
37,688,0.000681786200568023,0.9990645259108485
38,527,0.0005222403018885875,0.9995867662127371
39,116,0.00011495232451437598,0.9997017185372515
40,73,7.234068697887453e-05,0.9997740592242305
41,29,2.8738081128593994e-05,0.999802797305359
42,27,2.6756144499035786e-05,0.999829553449858
43,21,2.0810334610361167e-05,0.9998503637844683
44,23,2.2792271239919374e-05,0.9998731560557083
45,28,2.774711281381489e-05,0.9999009031685221
46,23,2.2792271239919374e-05,0.999923695439762
47,19,1.8828397980802963e-05,0.9999425238377428
48,15,1.4864524721686549e-05,0.9999573883624645
49,24,2.3783239554698478e-05,0.9999811716020192
50,19,1.8828397980802963e-05,1
